treat yield
1 25.392226746788
2 25.2597695739638
1 25.5050084685627
2 25.4203640216745
1 25.2508968833943
2 25.2807366622506
1 25.0690831124359
2 25.6031875159464
1 25.4005738524462
2 25.8150163410789
1 25.2290799237418
2 25.3069454285947
1 25.2311991383533
2 25.6181608271213
1 25.4025571369697
2 25.6153563361501
1 25.2715226992949
2 25.5498303868425
1 25.1779282287745
2 25.3487435087584
1 25.3181303479749
2 25.4820821090054
1 25.2861108637561
2 25.4579406997245
1 25.30057641859
2 25.5844484299831
1 25.3385280401126
2 25.4441341865844
1 25.2629339968208
2 25.6465460080028
1 25.3644376548519
2 25.4438128713349
1 25.2779513438181
2 25.6579067198369
1 25.3331781963916
2 25.3426234490001
1 25.4096839013149
2 25.3109767132863
